brand,categories,features.value,manufacturer,name
Goya Food,"Artichoke Hearts,Food,Canned Vegetables,Grocery","Salt,Monosodium,Glutamate,Sugar,Hydrolyzed Soy Protein,Malto Dextrin,Dehydrated Vegetables (Onion, Garlic, Celery and Parsley),Yeast Extract,Chicken Fat,Turmeric,Chicken Meat,Caramel Color,Natural Flavor,Disodium Inosinate and Guanylate,Silica (Anticaking Agent),.","GOYA FOODS, INC.","Goya Chicken Bouillon, 2.82 Oz"
Badia Spice,"Artichoke Hearts,Food,Canned Vegetables,Grocery",Chopped Oregano.,Badia Spices Co.,Whole Oregano
Morton & Bassett,"Artichokes,Grocery,Food,Canned Vegetables","Contains: Turmeric,Fenugreek,Coriander,Mustard Flour,Cumin,Gingerroot,Black Pepper,Allspice,Cayenne and Fennel.",Morton and Bassett,M&b Curry
Crown Prince,"Arts, Crafts & Sewing,Sewing,Notions,Fabric Dye Supplies,Food & Grocery,Laundry Care,Fabric Dye,Other Grocery,Food,Crafts","Whole Oysters,Water,Salt.",Crown Prince,Whole Oysters
Badia,"Asafetida,Grocery & Gourmet Food,Herbs, Spices & Seasonings,Single Herbs & Spices,grocery","Salt,Sugar,Spices,Including Paprika,Tumeric,Onion,Corn Starch,Garlic,Tricalcium Phosphate (Prevents Caking),Paprika Oleoresin (For Color),And Natural Flavor.",Badia Spices Co.,Seasoned Salt
Cento,"Asian Dishes,Grocery & Gourmet Food,Pasta & Noodles,Pasta,Food","Non Pareil Capers,Water,Salt and Vinegar.",Bellino,Bellino Nonpareil Cape Roasted 3-ounce Ja Roasted (pack of 12)
Blue Diamond,"Asian,Grocery & Gourmet Food,Sauces, Gravies & Marinades,Sauces,Soy Sauce","Almonds,Sugar,Cocoa Powder (processed with Alkali),Corn Maltodextrin,Natural Flavor (Dark Chocolate),Sea Salt and Rebiana (Stevia Extract),.",Blue Diamond Growers,"Blue Diamond Dark Chocolate Almonds, 8 Oz (pack of 6)"
Williams,"Assortments & Samplers,Food,Snacks, Cookies & Chips,Chips,Grocery,Grocery & Gourmet Food,Cooking & Baking,Nuts & Seeds,Alcohol & Food,Biscuits, Snacks & Crisps","Enriched Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Salt,Spices and Color,Dehydrated Onion and Garlic,Natural Flavor.",Williams,"Williams Spicy Wings, 5 Oz (pack of 6)"
Marco Polo,"Assortments & Samplers,Food,Snacks, Cookies & Chips,Cookies,Beans,Grocery","Sour Cherry Juice,Sugar.",ADRIA IMPORTS INC,Sour Cherry Syrup
Bionaturae,"Assortments & Variety Gifts,Grocery & Gourmet Food,Food & Beverage Gifts","Organic Wild Berries (Organic Blackberries, Organic Strawberries, Organic Bilberries, Organic Raspberries),Organic Apple Juice Concentrate,Natural Fruit Pectin,Ascorbic Acid.",Bionaturae,Bionaturae Organic Wild Berry Fruit Spread 9 Oz
